,Price,Address,Specifics
295,"$549,900",101 Mitchell St,"5BD2BA5 Parking1,500-2,000 sqft"
296,"$749,900",279 Mud St E,2BD2BA2 Parking
297,"$2,699,000",1725 Chesbro Cres,"3+1BD4BA6 Parking2,500-3,000 sqft"
298,"$679,900",258 Mountain Ave,"3+1BD2BA8 Parking700-1,100 sqft"
299,"$6,388,000",256 Patricia Dr,"5+1BD8BA13 Parking+5,000 sqft"
300,"$888,000",93 Lynnbrook Dr,3BD2BA5 Parking
301,"$259,900",Address not available,
302,"$699,999",119 Gorham Rd,"2+2BD2BA10 Parking700-1,100 sqft"
303,"$799,900",1568 4th Conc Rd W,"3BD1BA12 Parking1,100-1,500 sqft"
304,"$700,000",7127 36/37 Nottawasaga Sdrd E,"2BD2BA3 Parking1,500-2,000 sqft"
305,"$990,000",25 Christy Dr,"2+2BD4BA6 Parking2,000-2,500 sqft"
306,"$1,199,000",966 Dundas St,3BD2BA0 Parking
307,"$1,249,000",13 Mccullogh Dr,"4BD3BA8 Parking2,500-3,000 sqft"
308,"$969,999",23 Warren Cres,2+2BD1BA2 Parking
309,"$1,249,900",6 Archerhill Dr,3+2BD2BA3 Parking
310,"$1,100,000",2095 Shady Glen Rd,3+1BD4BA3 Parking
311,"$1,949,900",81 Great Lakes Blvd,"4BD5BA4 Parking3,000-3,500 sqft"
312,"$1,259,000",94 Northview Cres,"4+1BD4BA11 Parking2,500-3,000 sqft"
313,"$1,099,000",35 Chippingwood Manr,"4BD3BA6 Parking2,500-3,000 sqft"
314,"$999,000",14 Bern St,3+1BD4BA3 Parking
315,"$995,000",3255 274 STREET,"3BD2BA4 Parking1,440 sqft"
316,"$699,900",813 Fairway Cres,"3BD3BA2 Parking1,100-1,500 sqft"
317,"$3,689,000",2022 Hixon St,"4+1BD5BA8 Parking3,000-3,500 sqft"
318,"$1,099,900",1525 Swann Cres,"3BD3BA4 Parking1,500-2,000 sqft"
319,"$574,900",868 Adams Rd,2+1BD1BA4 Parking
320,"$849,990",1941 Emerald Crt,"3+2BD2BA4 Parking1,100-1,500 sqft"
321,"$995,000",83 Flood Ave,"4BD3BA6 Parking2,500-3,000 sqft"
322,"$90,000",Address not available,
323,"$319,000",150 Mcarthur St,"3BD1BA2 Parking700-1,100 sqft"
324,"$1,025,000",244 Van Scott Dr,2+1BD3BA6 Parking
325,"$999,999",64 Frontenac Cres,"4BD3BA4 Parking1,500-2,000 sqft"
326,"$899,800",231 Murray St,3BD3BA4 Parking
327,"$1,169,000",9 Borjana Blvd,"3+1BD4BA3 Parking1,500-2,000 sqft"
328,"$1,477,000",526 Coronation Rd,"5BD4BA4 Parking2,500-3,000 sqft"
329,"$999,500",681 Whistler Dr,"4BD3BA6 Parking2,000-2,500 sqft"
330,"$1,899,999",177 Faywood Blvd,"5+2BD4BA5 Parking3,000-3,500 sqft"
331,"$1,348,800",798 Bolingbroke Dr,"4BD3BA4 Parking2,000-2,500 sqft"
332,"$1,159,800",24 Kavanagh Ave,"4BD3BA4 Parking2,000-2,500 sqft"
333,"$2,688,000",23 Carnwath Cres,4+1BD4BA4 Parking
334,"$597,000",60 Lorne Ave,"3BD2BA0 Parking1,100-1,500 sqft"
335,"$449,999",620 Morand St,2+1BD2BA8 Parking
336,"$1,049,900",19 Walbrook Rd,4+1BD3BA3 Parking
337,"$899,000",15 Blaney Cres,3+2BD3BA4 Parking
338,"$800,000",62 Elgin St,3BD3BA6 Parking
339,"$1,099,999",6371 6th Line,"3BD1BA10 Parking700-1,100 sqft"
340,"$299,900",PART OF LOT 24 24 Sideroad,
341,"$829,900",19 Douglas Dr,3+1BD2BA4 Parking
